name,latitude,longitude,display_name,geocode_source,review_code,review_message
Yerevan,,,,missing,missing_coordinates,No coordinates found for 'Yerevan'.
Mobarakeh Steel Plant,,,,missing,missing_coordinates,No coordinates found for 'Mobarakeh Steel Plant'.
Khuzestan Steel Plant,,,,missing,missing_coordinates,No coordinates found for 'Khuzestan Steel Plant'.
Amazon Cloud Computing Centre,,,,missing,missing_coordinates,No coordinates found for 'Amazon Cloud Computing Centre'.
Tofigh Daru Research & Engineering Company,,,,missing,missing_coordinates,No coordinates found for 'Tofigh Daru Research & Engineering Company'.
Zanjan Prison,,,,missing,missing_coordinates,No coordinates found for 'Zanjan Prison'.
Western Iran,,,,missing,missing_coordinates,No coordinates found for 'Western Iran'.
Florida,,,,missing,missing_coordinates,No coordinates found for 'Florida'.
Baghdad,,,,missing,missing_coordinates,No coordinates found for 'Baghdad'.
Karaj,,,,missing,missing_coordinates,No coordinates found for 'Karaj'.
B1 suspension bridge,,,,missing,missing_coordinates,No coordinates found for 'B1 suspension bridge'.
Dehdasht,,,,missing,missing_coordinates,No coordinates found for 'Dehdasht'.
Southern Iran,,,,missing,missing_coordinates,No coordinates found for 'Southern Iran'.
Borouge petrochemical facility,,,,missing,missing_coordinates,No coordinates found for 'Borouge petrochemical facility'.
Qasem Soleimani international airport,,,,missing,missing_coordinates,No coordinates found for 'Qasem Soleimani international airport'.
Isfahan,,,,missing,missing_coordinates,No coordinates found for 'Isfahan'.
"B1 bridge, Karaj",,,,missing,missing_coordinates,"No coordinates found for 'B1 bridge, Karaj'."
Isfahan Mobarakeh Steel company,,,,missing,missing_coordinates,No coordinates found for 'Isfahan Mobarakeh Steel company'.
Iranian railway,,,,missing,missing_coordinates,No coordinates found for 'Iranian railway'.
Southern suburbs of Beirut,,,,missing,missing_coordinates,No coordinates found for 'Southern suburbs of Beirut'.
Southern Lebanon,33.5393039,35.3716495,"تقاطع صيدا جنوبي, أتستراد البحر, صيدا الدكرمان, صيدا, قضاء صيدا, محافظة الجنوب, 1600, لبنان",nominatim,low_importance_match,'Southern Lebanon' resolved with low Nominatim importance (0.0001); review manually.
Eastern Bekaa Valley,,,,missing,missing_coordinates,No coordinates found for 'Eastern Bekaa Valley'.
Islamabad,,,,missing,missing_coordinates,No coordinates found for 'Islamabad'.
Pakistan,,,,missing,missing_coordinates,No coordinates found for 'Pakistan'.
Bab al-Mandab,,,,missing,missing_coordinates,No coordinates found for 'Bab al-Mandab'.
St Aubin's Bay,,,,missing,missing_coordinates,No coordinates found for 'St Aubin's Bay'.
Persian Gulf,,,,missing,missing_coordinates,No coordinates found for 'Persian Gulf'.
